year,team,name,salary,playerID,release_speed
2019,arizona-diamondbacks,Eduardo Escobar,6166666,500871,#N/A
2019,arizona-diamondbacks,Robbie Ray,6050000,592662,88.08
2019,arizona-diamondbacks,Taijuan Walker,5025000,592836,91.65
2019,arizona-diamondbacks,Jake Lamb,4825000,571875,#N/A
2019,arizona-diamondbacks,Adam Jones,4500000,430945,#N/A
2019,arizona-diamondbacks,Alex Avila,4250000,488671,73.50
2019,arizona-diamondbacks,Jarrod Dyson,4000000,502481,#N/A
2019,arizona-diamondbacks,Wilmer Flores,3750000,527038,#N/A
2019,arizona-diamondbacks,Nick Ahmed,3662500,605113,#N/A
2019,arizona-diamondbacks,Yoshihisa Hirano,3500000,673633,87.25
2019,arizona-diamondbacks,Mike Leake,3000000,502190,85.32
2019,arizona-diamondbacks,Merrill Kelly,2000000,518876,88.31
2019,arizona-diamondbacks,Ketel Marte,2000000,606466,#N/A
2019,arizona-diamondbacks,Andrew Chafin,1945000,605177,90.11
2019,arizona-diamondbacks,Archie Bradley,1830000,605151,91.76
2019,arizona-diamondbacks,McFarland,1400000,0,#N/A
2019,arizona-diamondbacks,Matt Andriese,920000,542882,88.67
2019,arizona-diamondbacks,Luke Weaver,581300,596133,89.50
2019,arizona-diamondbacks,Carson Kelly,560000,608348,#N/A
2019,arizona-diamondbacks,Christian Walker,559800,572233,#N/A
2019,arizona-diamondbacks,Yoan Lopez,556900,661255,91.38
2019,arizona-diamondbacks,Caleb Joseph,473120,543376,65.36
2019,arizona-diamondbacks,Ildemaro Vargas,420744,545121,#N/A
2019,arizona-diamondbacks,Tim Locastro,375984,641796,#N/A
2019,arizona-diamondbacks,Taylor Clarke,355096,664199,89.32
2019,arizona-diamondbacks,Jon Duplantier,283480,641541,87.97
2020,arizona-diamondbacks,Eduardo Escobar,2759259,500871,#N/A
2020,arizona-diamondbacks,Nick Ahmed,2597222,605113,#N/A
2020,arizona-diamondbacks,David Peralta,2592593,444482,#N/A
2020,arizona-diamondbacks,Madison Bumgarner,2222222,518516,87.30
2020,arizona-diamondbacks,Kole Calhoun,2222222,594777,#N/A
2020,arizona-diamondbacks,Ketel Marte,1481481,606466,#N/A
2020,arizona-diamondbacks,Junior Guerra,975926,448855,90.51
2020,arizona-diamondbacks,Hector Rondon,925926,444468,92.89
2020,arizona-diamondbacks,Stephen Vogt,925926,519390,#N/A
2020,arizona-diamondbacks,Jon Jay,605556,445055,#N/A
2020,arizona-diamondbacks,Luke Weaver,221111,596133,89.50
2020,arizona-diamondbacks,Christian Walker,218333,572233,#N/A
2020,arizona-diamondbacks,Silvino Bracho,216333,611093,#N/A
2020,arizona-diamondbacks,Carson Kelly,215444,608348,#N/A
2020,arizona-diamondbacks,Stefan Crichton,213889,592233,88.12
2020,arizona-diamondbacks,Zac Gallen,212963,668678,88.13
2020,arizona-diamondbacks,Alex Young,212963,622065,85.73
2020,arizona-diamondbacks,Tim Locastro,212741,641796,#N/A
2020,arizona-diamondbacks,Taylor Clarke,208704,664199,89.32
2020,arizona-diamondbacks,Taylor Widener,208704,642203,#N/A
2020,arizona-diamondbacks,Daulton Varsho,183784,662139,#N/A
2020,arizona-diamondbacks,Yoan Lopez,182172,661255,91.38
2020,arizona-diamondbacks,Riley Smith,109025,642092,#N/A
2020,arizona-diamondbacks,Caleb Smith,90776,592761,87.72
2020,arizona-diamondbacks,Keury Mella,84105,622492,93.29
2020,arizona-diamondbacks,Wyatt Mathisen,68530,621500,#N/A
2021,arizona-diamondbacks,Nick Ahmed,8125000,605113,#N/A
2021,arizona-diamondbacks,Kole Calhoun,8000000,594777,#N/A
2021,arizona-diamondbacks,Eduardo Escobar,7666668,500871,#N/A
2021,arizona-diamondbacks,David Peralta,7500000,444482,#N/A
2021,arizona-diamondbacks,Merrill Kelly,4250000,518876,88.31
2021,arizona-diamondbacks,Joakim Soria,3500000,465657,88.44
2021,arizona-diamondbacks,Stephen Vogt,3500000,519390,#N/A
2021,arizona-diamondbacks,Caleb Smith,1465000,592761,87.72
2021,arizona-diamondbacks,Christian Walker,619300,572233,#N/A
2021,arizona-diamondbacks,Pavin Smith,586600,656976,#N/A
2021,arizona-diamondbacks,Josh Rojas,582400,668942,#N/A
2021,arizona-diamondbacks,Alex Young,570592,622065,85.73
2021,arizona-diamondbacks,Riley Smith,569842,642092,#N/A
2021,arizona-diamondbacks,Josh Reddick,548352,502210,#N/A
2021,arizona-diamondbacks,Matt Peacock,524457,676840,#N/A
2021,arizona-diamondbacks,Bukauskas,515256,0,#N/A
2021,arizona-diamondbacks,Josh VanMeter,495646,642165,#N/A
2021,arizona-diamondbacks,Joe Mantiply,432447,573009,84.47
2021,arizona-diamondbacks,Andy Young,417112,0,#N/A
2021,arizona-diamondbacks,Daulton Varsho,401777,662139,#N/A
2021,arizona-diamondbacks,Noe Ramirez,328169,598287,83.16
2021,arizona-diamondbacks,Jacob Faria,325102,0,#N/A
2021,arizona-diamondbacks,Brett de Geus,303633,676969,#N/A
2021,arizona-diamondbacks,Bryan Holaday,282164,592407,63.40
2021,arizona-diamondbacks,Stuart Fairchild,272963,0,#N/A
2021,arizona-diamondbacks,Madison Bumgarner,14000000,518516,87.30
2019,atlanta-braves,Josh Donaldson,23000000,518626,#N/A
